CASRN,DTXSID,Name,Species,Sex,DosingAdj,HalfLife.h,kelim.h,Source,NObs,Multimodal,FittedDist
312943-34-3,DTXSID60896542,"Phenyl 2,3,3,3-tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]propanoate",,,,782.4,,,,,
10249-10-2,DTXSID10598741,"Phenyl 2,3,3,3-tetrafluoro-2-phenoxypropanoate",,,,29070,,,,,
10249-10-2,DTXSID10598741,"Phenyl 2,3,3,3-tetrafluoro-2-phenoxypropanoate",,,,782.4,,,,,
10249-10-2,DTXSID10598741,"Phenyl 2,3,3,3-tetrafluoro-2-phenoxypropanoate",,,,4.943,,,,,
25628-11-9,DTXSID80330473,Phenyl nonafluorobutane-1-sulfonate,,,,29070,,,,,
25628-11-9,DTXSID80330473,Phenyl nonafluorobutane-1-sulfonate,,,,782.4,,,,,
74061-31-7,DTXSID50501193,Phenyl(tridecafluorohexyl)iodanium,,,,29070,,,,,
74061-31-7,DTXSID50501193,Phenyl(tridecafluorohexyl)iodanium,,,,782.4,,,,,
77758-84-0,DTXSID10608258,Phenyl(tridecafluorohexyl)iodanium trifluoromethanesulfonate,,,,29070,,,,,
77758-84-0,DTXSID10608258,Phenyl(tridecafluorohexyl)iodanium trifluoromethanesulfonate,,,,782.4,,,,,
892154-76-6,DTXSID80724595,"Phenyl[({[(5,5,6,6,7,7,8,8,9,9,10,10,10-tridecafluoro-2-methyldecan-2-yl)oxy]carbonyl}oxy)imino]acetonitrile",,,,29070,,,,,
892154-76-6,DTXSID80724595,"Phenyl[({[(5,5,6,6,7,7,8,8,9,9,10,10,10-tridecafluoro-2-methyldecan-2-yl)oxy]carbonyl}oxy)imino]acetonitrile",,,,782.4,,,,,
290827-94-0,DTXSID70472972,"Phenylbis[4-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)phenyl]phosphane",,,,29070,,,,,
290827-94-0,DTXSID70472972,"Phenylbis[4-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)phenyl]phosphane",,,,782.4,,,,,
120263-08-3,DTXSID10449062,"Phosphine, 1,2-ethanediylbis[bis(pentafluoroethyl)-",,,,29070,,,,,
120263-08-3,DTXSID10449062,"Phosphine, 1,2-ethanediylbis[bis(pentafluoroethyl)-",,,,782.4,,,,,
